GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrBreak.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrStatement.Builder,811,0,129,0,237,0,120,0,53,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FieldAccessCommon,424,0,43,0,114,0,55,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrEnumEntry.Builder,481,0,52,0,126,0,57,0,31,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrOperation,3203,0,603,0,837,0,416,0,97,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrConstructor.Builder,218,0,22,0,63,0,28,0,17,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrType.Builder,628,0,98,0,187,0,94,0,43,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTypeAlias.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTypeOperator,179,0,12,0,31,0,16,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrVararg,395,0,34,0,103,0,51,0,33,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrVariable.Builder,415,0,46,0,111,0,50,0,27,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrValueParameter.Builder,421,0,42,0,110,0,50,0,29,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTry.Builder,559,0,56,0,151,0,64,0,36,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,NullableIrExpression,314,0,27,0,89,0,42,0,28,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrType.KindCase,103,0,7,0,20,0,10,0,4,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IdSignature.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrLocalDelegatedProperty.Builder,667,0,78,0,173,0,78,0,39,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrExpression,436,0,45,0,118,0,56,0,32,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrFunction.Builder,354,0,30,0,95,0,40,0,25,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,FileLocalIdSignature.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrBreak,334,0,28,0,92,0,45,0,30,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrTypeParameter.Builder,425,0,38,0,112,0,48,0,29,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrType,651,0,93,0,176,0,86,0,37,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrStringConcat.Builder,299,0,24,0,86,0,36,0,24,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrDynamicOperatorExpression.IrDynamicOperator,445,0,31,0,69,0,35,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IdSignature.IdSigCase,129,0,9,0,24,0,12,0,4,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrConstructorCall,487,0,52,0,129,0,62,0,34,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,MemberAccessCommon.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrFunctionExpression,377,0,36,0,104,0,49,0,30,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrConstructor.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrGetObject,283,0,21,0,81,0,39,0,28,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrOperation.Builder,3727,0,668,0,1090,0,574,0,223,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrCall.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.backend.common.serialization.proto,IrWhile.Builder,218,0,22,0,63,0,28,0,17,0
