package,mode,files
joda-time-joda-time,inject,2797
org-apache-commons-commons-collections4,base,13679
org-apache-commons-commons-collections4,both,7418
org-apache-commons-commons-collections4,erase,18851
org-apache-commons-commons-collections4,inject,7432
org-apache-commons-commons-compress,base,6204
org-apache-commons-commons-compress,both,3053
org-apache-commons-commons-compress,erase,6928
org-apache-commons-commons-compress,inject,3056
org-apache-commons-commons-lang3,base,12505
org-apache-commons-commons-lang3,both,4033
org-apache-commons-commons-lang3,erase,13518
org-apache-commons-commons-lang3,inject,4051
org-apache-commons-commons-text,base,6697
org-apache-commons-commons-text,both,999
org-apache-commons-commons-text,erase,6930
org-apache-commons-commons-text,inject,1012
org-apache-logging-log4j-log4j-api,base,7915
org-apache-logging-log4j-log4j-api,both,2070
org-apache-logging-log4j-log4j-api,erase,7209
org-apache-logging-log4j-log4j-api,inject,2067
org-apache-logging-log4j-log4j-core,base,9839
org-apache-logging-log4j-log4j-core,both,5460
org-apache-logging-log4j-log4j-core,erase,10201
org-apache-logging-log4j-log4j-core,inject,5488
org-apache-maven-maven-artifact,base,2224
org-apache-maven-maven-artifact,both,217
org-apache-maven-maven-artifact,erase,1865
org-apache-maven-maven-artifact,inject,218
org-apache-maven-maven-core,base,5625
org-apache-maven-maven-core,both,2165
org-apache-maven-maven-core,erase,5703
org-apache-maven-maven-core,inject,2165
org-apache-maven-maven-plugin-api,base,6185
org-apache-maven-maven-plugin-api,both,166
org-apache-maven-maven-plugin-api,erase,4972
org-apache-maven-maven-plugin-api,inject,167
org-apache-poi-poi,base,10456
org-apache-poi-poi,both,8692
org-apache-poi-poi,erase,10924
org-apache-poi-poi,inject,8598
org-apache-poi-poi-ooxml,base,9526
org-apache-poi-poi-ooxml,both,5715
org-apache-poi-poi-ooxml,erase,9877
org-apache-poi-poi-ooxml,inject,5717
org-aspectj-aspectjrt,base,2275
org-aspectj-aspectjrt,both,498
org-aspectj-aspectjrt,erase,2588
org-aspectj-aspectjrt,inject,495
org-aspectj-aspectjweaver,base,11321
org-aspectj-aspectjweaver,both,6630
org-aspectj-aspectjweaver,erase,10539
org-aspectj-aspectjweaver,inject,6621
org-assertj-assertj-core,base,15562
org-assertj-assertj-core,both,7081
org-assertj-assertj-core,erase,12669
org-assertj-assertj-core,inject,7086
org-bouncycastle-bcpkix-jdk15on,base,4788
org-bouncycastle-bcpkix-jdk15on,both,2067
org-bouncycastle-bcpkix-jdk15on,erase,5014
org-bouncycastle-bcpkix-jdk15on,inject,2132
org-bouncycastle-bcprov-jdk15on,base,20112
org-bouncycastle-bcprov-jdk15on,both,10975
org-bouncycastle-bcprov-jdk15on,erase,20544
org-bouncycastle-bcprov-jdk15on,inject,10887
org-clojure-clojure,base,7819
org-clojure-clojure,both,2380
org-clojure-clojure,erase,8031
org-clojure-clojure,inject,2374
org-easymock-easymock,base,6499
org-easymock-easymock,both,793
org-easymock-easymock,erase,6155
org-easymock-easymock,inject,788
org-eclipse-jetty-jetty-server,base,6811
org-eclipse-jetty-jetty-server,both,1112
org-eclipse-jetty-jetty-server,erase,7333
org-eclipse-jetty-jetty-server,inject,1111
org-freemarker-freemarker,base,5952
org-freemarker-freemarker,both,1646
org-freemarker-freemarker,erase,5768
org-freemarker-freemarker,inject,1601
org-hamcrest-hamcrest,base,7562
org-hamcrest-hamcrest,both,1004
org-hamcrest-hamcrest-core,base,3
org-hamcrest-hamcrest-core,both,2
org-hamcrest-hamcrest-core,erase,3
org-hamcrest-hamcrest-core,inject,2
org-hamcrest-hamcrest,erase,7243
org-hamcrest-hamcrest,inject,1003
org-hamcrest-hamcrest-library,base,3
org-hamcrest-hamcrest-library,both,2
org-hamcrest-hamcrest-library,erase,3
org-hamcrest-hamcrest-library,inject,2
org-hsqldb-hsqldb,base,7647
org-hsqldb-hsqldb,both,3348
org-hsqldb-hsqldb,erase,7164
org-hsqldb-hsqldb,inject,3355
org-javassist-javassist,base,6662
org-javassist-javassist,both,1640
org-javassist-javassist,erase,6670
org-javassist-javassist,inject,1642
org-jboss-logging-jboss-logging,base,3368
org-jboss-logging-jboss-logging,both,397
org-jboss-logging-jboss-logging,erase,3637
org-jboss-logging-jboss-logging,inject,400
org-jsoup-jsoup,base,8003
org-jsoup-jsoup,both,988
org-jsoup-jsoup,erase,8142
org-jsoup-jsoup,inject,998
org-junit-jupiter-junit-jupiter-api,base,6293
org-junit-jupiter-junit-jupiter-api,both,649
org-junit-jupiter-junit-jupiter-api,erase,6224
org-junit-jupiter-junit-jupiter-api,inject,649
org-junit-jupiter-junit-jupiter-engine,base,807
org-junit-jupiter-junit-jupiter-engine,both,233
org-junit-jupiter-junit-jupiter-engine,erase,770
org-junit-jupiter-junit-jupiter-engine,inject,233
org-junit-jupiter-junit-jupiter-params,base,249
org-junit-jupiter-junit-jupiter-params,both,60
org-junit-jupiter-junit-jupiter-params,erase,256
org-junit-jupiter-junit-jupiter-params,inject,60
org-junit-platform-junit-platform-launcher,base,699
org-junit-platform-junit-platform-launcher,both,219
org-junit-platform-junit-platform-launcher,erase,700
org-junit-platform-junit-platform-launcher,inject,219
org-junit-vintage-junit-vintage-engine,base,106
org-junit-vintage-junit-vintage-engine,both,35
org-junit-vintage-junit-vintage-engine,erase,191
org-junit-vintage-junit-vintage-engine,inject,35
org-mockito-mockito-core,base,1307
org-mockito-mockito-core,both,641
org-mockito-mockito-core,erase,1302
org-mockito-mockito-core,inject,601
org-mockito-mockito-junit-jupiter,base,4
org-mockito-mockito-junit-jupiter,both,6
org-mockito-mockito-junit-jupiter,erase,4
org-mockito-mockito-junit-jupiter,inject,6
org-objenesis-objenesis,base,1689
org-objenesis-objenesis,both,212
org-objenesis-objenesis,erase,1655
org-objenesis-objenesis,inject,208
org-ow2-asm-asm,base,525
org-ow2-asm-asm,both,248
org-ow2-asm-asm,erase,522
org-ow2-asm-asm,inject,248
org-postgresql-postgresql,base,14297
org-postgresql-postgresql,both,2458
org-postgresql-postgresql,erase,15266
org-postgresql-postgresql,inject,2473
org-powermock-powermock-api-mockito,base,1877
org-powermock-powermock-api-mockito,both,206
org-powermock-powermock-api-mockito,erase,2126
org-powermock-powermock-api-mockito,inject,210
org-powermock-powermock-module-junit4,base,906
org-powermock-powermock-module-junit4,both,55
org-powermock-powermock-module-junit4,erase,824
org-powermock-powermock-module-junit4,inject,55
org-projectlombok-lombok,base,503
org-projectlombok-lombok,both,19
org-projectlombok-lombok,erase,558
org-projectlombok-lombok,inject,19
org-reflections-reflections,base,6501
org-reflections-reflections,both,465
org-reflections-reflections,erase,4886
org-reflections-reflections,inject,470
org-slf4j-jcl-over-slf4j,base,1236
org-slf4j-jcl-over-slf4j,both,55
org-slf4j-jcl-over-slf4j,erase,1985
org-slf4j-jcl-over-slf4j,inject,55
org-slf4j-jul-to-slf4j,base,5
org-slf4j-jul-to-slf4j,both,6
org-slf4j-jul-to-slf4j,erase,5
org-slf4j-jul-to-slf4j,inject,6
org-slf4j-log4j-over-slf4j,base,620
org-slf4j-log4j-over-slf4j,both,158
org-slf4j-log4j-over-slf4j,erase,769
org-slf4j-log4j-over-slf4j,inject,161
org-slf4j-slf4j-api,base,5336
org-slf4j-slf4j-api,both,261
org-slf4j-slf4j-api,erase,5116
org-slf4j-slf4j-api,inject,261
org-slf4j-slf4j-jdk14,base,112
org-slf4j-slf4j-jdk14,both,14
org-slf4j-slf4j-jdk14,erase,112
org-slf4j-slf4j-jdk14,inject,14
org-slf4j-slf4j-simple,base,18
org-slf4j-slf4j-simple,both,12
org-slf4j-slf4j-simple,erase,20
org-slf4j-slf4j-simple,inject,12
org-spockframework-spock-core,base,5142
org-spockframework-spock-core,both,285
org-spockframework-spock-core,erase,4807
org-spockframework-spock-core,inject,285
org-springframework-security-spring-security-core,base,7714
org-springframework-security-spring-security-core,both,1224
org-springframework-security-spring-security-core,erase,7739
org-springframework-security-spring-security-core,inject,1235
org-springframework-spring-aop,base,7888
org-springframework-spring-aop,both,758
org-springframework-spring-aop,erase,7871
org-springframework-spring-aop,inject,758
org-springframework-spring-beans,base,9148
org-springframework-spring-beans,both,2076
org-springframework-spring-beans,erase,8432
org-springframework-spring-beans,inject,2074
org-springframework-spring-context,base,6306
org-springframework-spring-context,both,2402
org-springframework-spring-context,erase,10414
org-springframework-spring-context,inject,2406
org-springframework-spring-context-support,base,1171
org-springframework-spring-context-support,both,439
org-springframework-spring-context-support,erase,1215
org-springframework-spring-context-support,inject,439
org-springframework-spring-core,base,11704
org-springframework-spring-core,both,4038
org-springframework-spring-core,erase,11882
org-springframework-spring-core,inject,4080
org-springframework-spring-jdbc,base,6045
org-springframework-spring-jdbc,both,1820
org-springframework-spring-jdbc,erase,7016
org-springframework-spring-jdbc,inject,1820
org-springframework-spring-orm,base,6671
org-springframework-spring-orm,both,595
org-springframework-spring-orm,erase,5887
org-springframework-spring-orm,inject,595
org-springframework-spring-test,base,7436
org-springframework-spring-test,both,2042
org-springframework-spring-test,erase,7865
org-springframework-spring-test,inject,2043
org-springframework-spring-tx,base,5216
org-springframework-spring-tx,both,554
org-springframework-spring-tx,erase,5984
org-springframework-spring-tx,inject,557
org-springframework-spring-web,base,9159
org-springframework-spring-web,both,3563
org-springframework-spring-web,erase,7885
org-springframework-spring-web,inject,3579
org-springframework-spring-webmvc,base,6964
org-springframework-spring-webmvc,both,2230
org-springframework-spring-webmvc,erase,7024
org-springframework-spring-webmvc,inject,2226
org-testng-testng,base,6378
org-testng-testng,both,1582
org-testng-testng,erase,7668
org-testng-testng,inject,1586
org-yaml-snakeyaml,base,4099
org-yaml-snakeyaml,both,472
org-yaml-snakeyaml,erase,3174
org-yaml-snakeyaml,inject,471
